position,player_name,lane_agility_time,shuttle_run,three_quarter_sprint,standing_vertical_leap,max_vertical_leap,max_bench_press_repetitions
C,Mouhamed Gueye,,,,,,
SG,Jordan Hawkins,,,,,,
PF,Coleman Hawkins,12.14,,3.37,26.5,32.5,
PG,Scoot Henderson,,,,,,
PF,Taylor Hendricks,11.27,,3.32,32.5,36.0,
C,DaRon Holmes II,11.48,,3.2,29.5,35.0,
PG,Jalen Hood-Schifino,,,,,,
SF,Jett Howard,,,,,,
PF,GG Jackson,11.39,,3.21,31.0,37.0,
SF,Andre Jackson Jr.,10.83,,3.14,30.5,39.5,
C,Trayce Jackson-Davis,11.8,3.23,3.2,33.0,36.5,
SF,Jaime Jaquez Jr.,11.21,,3.33,34.5,39.0,
SF,Keyontae Johnson,,,,,,
SG,Colby Jones,11.14,3.13,3.33,30.5,35.0,
C,Ryan Kalkbrenner,12.27,,3.39,28.0,30.5,
PF,Arthur Kaluma,11.35,3.26,3.44,32.5,34.5,
SG,Mojave King,11.07,,3.18,33.5,42.0,
PF,Bobi Klintman,,,,,,
SG,Maxwell Lewis,11.4,,3.43,32.5,36.5,
C,Dereck Lively Jr.,,,,,,
SF,Chris Livingston,11.65,,3.27,30.5,37.0,
SF,Seth Lundy,11.02,,3.15,31.5,35.5,
SF,Kevin McCullar,,,,,,
PG,Mike Miles Jr.,11.01,3.24,3.11,33.0,37.0,
SF,Jordan Miller,11.43,3.21,3.17,32.0,36.5,
SF,Brandon Miller,,,,,,
PF,Leonard Miller,11.0,,3.33,32.0,37.5,
PG,Judah Mintz,10.32,3.13,3.24,28.5,37.0,
PF,Dillon Mitchell,10.92,,3.32,29.0,37.0,
SG,Omari Moore,10.8,,3.22,29.0,35.5,
PF,Kris Murray,11.11,,3.3,29.5,35.0,
PF,Grant Nelson,9.99,,3.21,32.0,35.5,
C,James Nnaji,,,,,,
SF,Julian Phillips,11.09,,3.32,36.0,43.0,
PG,Jalen Pickett,11.91,3.41,3.35,28.5,33.0,
SG,Brandin Podziemski,11.16,3.2,3.21,31.5,39.0,
PF,Olivier-Maxence Prosper,10.59,3.0,3.21,35.0,40.5,
SF,Rayan Rupert,11.18,,3.43,27.5,32.5,
C,Adama Sanogo,11.5,,3.31,28.5,31.0,
PG,Marcus Sasser,10.68,,3.43,27.0,35.0,
SF,Brice Sensabaugh,,,,,,
SF,Terrence Shannon Jr.,10.36,,3.06,32.0,37.5,
SG,Ben Sheppard,10.88,2.98,3.17,29.5,35.5,
PF,Jalen Slawson,11.26,,3.29,29.0,33.0,
SG,Terquavion Smith,10.86,,3.21,30.0,37.0,
SG,Nick Smith Jr.,,,,,,
SF,Julian Strawther,10.94,3.46,3.31,27.5,34.5,
SG,Amen Thompson,,,,,,
SG,Ausar Thompson,,,,,,
C,Drew Timme,10.93,,3.34,26.0,30.5,
PF,Nae'Qwan Tomlin,,,,,,
C,Oscar Tshiebwe,12.26,,3.32,29.5,32.5,
PF,Azuolas Tubelis,11.17,,3.5,23.5,30.5,
C,Tristan Vukcevic,11.71,3.16,3.43,26.0,30.5,
PF,Jarace Walker,10.89,,3.2,34.5,38.0,
PG,Cason Wallace,10.82,,3.34,28.0,36.0,
SF,Jordan Walsh,10.83,,3.3,33.0,36.0,
C,Victor Wembanyama,,,,,,
SG,Dariq Whitehead,,,,,,
SF,Cam Whitmore,10.82,3.33,3.2,31.5,40.5,
SF,Jalen Wilson,11.26,3.15,3.2,31.5,35.0,
SG,Isaiah Wong,10.93,,3.22,32.5,37.0,
SG,Ochai Agbaji,10.77,3.11,3.13,32.0,39.0,
SF,Patrick Baldwin Jr.,12.25,3.3,3.45,23.5,26.5,
PF,Paolo Banchero,,,,,,
PF,Dominick Barlow,11.29,3.19,3.33,28.5,34.0,
SG,MarJon Beauchamp,,,,,,
SG,Hugo Besson,11.36,3.25,3.4,24.5,31.5,
SG,Malaki Branham,11.38,3.09,3.17,29.0,35.0,
SG,Christian Braun,11.0,3.13,3.16,33.5,40.0,
SF,Kendall Brown,11.57,3.05,3.29,31.5,41.0,
PF,John Butler Jr.,11.16,3.04,3.33,26.5,28.5,
SF,Julian Champagnie,11.39,3.04,3.14,28.5,34.5,
PG,Kennedy Chandler,10.73,2.89,,31.0,41.5,
SG,Max Christie,10.82,3.02,3.07,32.0,37.5,
C,Kofi Cockburn,12.11,3.31,3.33,29.5,32.5,
SG,Dyson Daniels,10.81,2.81,3.22,29.0,34.0,
PG,Johnny Davis,,,,,,
PG,JD Davison,11.38,3.23,3.26,30.0,37.0,
SF-PF,Darius Days,,,,,,
C,Moussa Diabate,11.16,2.9,3.26,29.0,36.5,
SF,Ousmane Dieng,,,,,,
C,Khalifa Diop,,,,,,
C,Jalen Duren,,,,,,
PF,Tari Eason,,,,,,
SG,Keon Ellis,10.87,3.02,3.18,28.0,35.5,
C,Michael Foster Jr.,11.49,3.1,3.22,28.0,32.5,
PG,Collin Gillespie,10.95,3.01,3.21,26.5,33.0,
SF,AJ Griffin,,,,,,
SG,Jaden Hardy,,,,,,
SF,Ron Harper Jr.,11.41,3.24,3.4,26.0,30.5,
PF,Chet Holmgren,,,,,,
SF,Harrison Ingram,11.83,3.26,3.31,29.5,35.0,
PG,Jaden Ivey,,,,,,
C,Trayce Jackson-Davis,,,,,,
SF,Nikola Jovic,,,,,,
SG,Johnny Juzang,11.03,3.17,3.29,27.5,32.5,
PF,Ismael Kamagate,,,,,,
SG,Trevor Keels,11.33,3.32,3.27,24.5,31.0,
C,Walker Kessler,,,,,,
C,Christian Koloko,11.3,3.19,3.27,28.0,33.5,
PF,Jake LaRavia,10.58,2.89,3.37,27.5,34.0,
PF,Justin Lewis,11.49,3.02,3.23,32.5,35.0,
PF,E.J. Liddell,11.11,3.23,3.26,35.5,38.0,
PF-C,Kenneth Lofton Jr.,,,,,,
SG-SF,Tyrese Martin,,,,,,
SG,Bennedict Mathurin,,,,,,
SF,Matthew Mayer,10.74,,3.39,25.5,31.5,
SG,Bryce McGowens,11.12,3.16,3.27,29.5,34.0,
SF,Leonard Miller,11.11,3.02,3.36,30.0,36.5,
PF,Josh Minnott,,,,,,
SG-SF,Aminu Mohammed,11.54,3.04,3.33,29.5,36.0,
PG,Iverson Molinar,11.23,3.1,3.19,31.0,38.0,
PG,Jean Montero,11.19,3.17,3.17,29.5,37.0,
SG,Wendell Moore,10.94,3.21,3.3,32.5,38.5,
PF,Keegan Murray,,,,,,
PG,Andrew Nembhard,10.46,3.02,3.26,26.5,35.0,
PG,Scotty Pippen Jr.,11.07,3.1,3.21,30.5,37.5,
SG-SF,Gabriele Procida,11.02,3.14,3.07,29.5,35.0,
SG-SF,Jared Rhoden,,,,,,
C,Orlando Robinson,11.4,3.23,3.55,23.0,27.5,
PF,David Roddy,10.75,3.1,3.22,27.0,35.5,
SG,Ryan Rollins,11.26,3.28,3.07,30.5,36.5,
PG,Marcus Sasser,,,,,,
SG,Dereon Seabron,11.03,3.04,3.12,30.5,38.0,
SG,Shaedon Sharpe,,,,,,
SG,Terquavion Smith,10.63,3.03,3.14,30.5,38.5,
PF,Jabari Smith,,,,,,
PF,Jeremy Sochan,,,,,,
PG,Matteo Spagnolo,11.42,3.16,3.4,25.5,31.5,
SF,Julian Strawther,10.3,3.37,3.26,28.5,35.0,
SG,Dalen Terry,,,,,,
C,Drew Timme,11.71,3.31,3.38,25.5,31.5,
PF,Jabari Walker,11.53,3.12,3.24,29.5,32.5,
SG,TyTy Washington Jr.,,,,,,
SF,Peyton Watson,11.03,3.24,3.28,28.0,33.5,
SG,Blake Wesley,11.55,3.25,3.21,30.0,36.0,
SG,Alondes Williams,10.96,3.11,3.15,30.0,35.5,
SG,Jalen Williams,11.13,3.17,3.11,33.5,39.0,
C,Jaylin Williams,11.64,3.1,3.5,24.5,30.0,
C,Trevion Williams,12.75,3.46,3.48,27.5,30.0,
PF-C,Bryson Williams,,,,,,
C,Mark Williams,,,,,,
SF-PF,Jalen Wilson,,,,,,
SF-PF,Fanbo Zeng,,,,,,
PG,Max Abmas,10.9,3.49,3.12,28.5,32.5,
SG,Ochai Agbaji,10.88,3.1,3.13,32.0,41.5,
SF,Marcus Bagley,12.26,3.1,3.17,32.5,38.5,
SF,Scottie Barnes,10.88,2.99,3.15,36.0,39.5,
C,Charles Bassey,12.19,3.33,3.13,33.0,36.0,
SF,Brandon Boston Jr.,,,,,,
SG,James Bouknight,,,,,,
PF,Greg Brown III,10.98,2.98,3.19,33.5,39.0,
PG,Jared Butler,,,,,,
SF,Julian Champagnie,12.38,3.2,3.2,26.0,32.0,
PF,Justin Champagnie,11.94,3.14,3.34,27.0,35.0,
SG,Josh Christopher,11.32,3.3,3.14,29.5,37.5,
PG,Sharife Cooper,,,,,,
PG,Cade Cunningham,,,,,,
SG,Ayo Dosunmu,11.51,3.27,3.23,27.0,33.5,
SG,David Duke Jr.,11.21,3.19,3.08,30.0,39.0,
PF,Kessler Edwards,11.3,3.38,3.25,28.0,37.0,
C,Luka Garza,11.9,3.38,3.51,24.0,29.5,
PF,RaiQuan Gray,11.69,3.3,3.25,26.5,31.5,
SG,Jalen Green,,,,,,
SG,Quentin Grimes,11.09,3.33,3.07,30.5,38.5,
SF,Sam Hauser,11.14,3.07,3.34,28.5,34.5,
SF,Aaron Henry,11.68,3.18,3.07,29.0,35.0,
C,Ariel Hukporti,12.2,3.53,3.12,24.5,31.0,
PF,Matt Hurt,11.44,3.25,3.34,25.5,32.5,
SG,Nah'Shon Hyland,10.53,3.17,3.1,26.5,34.0,
C,Isaiah Jackson,,,,,,
SG,David Johnson,12.02,3.2,3.03,33.0,39.0,
PF,Jalen Johnson,,,,,,
SG,Keon Johnson,11.45,3.2,3.0,41.5,48.0,
PG,Carlik Jones,10.96,3.23,3.16,31.5,36.0,
PF,Kai Jones,,,,,,
SF,Herbert Jones,11.02,3.17,3.25,28.5,36.5,
SG,Johnny Juzang,11.13,3.08,3.13,31.0,36.5,
SF,Corey Kispert,10.91,2.99,3.12,30.0,37.5,
SF,Jonathan Kuminga,,,,,,
SG-SF,AJ Lawson,11.0,3.01,2.98,33.0,41.0,
SF,Scottie Lewis,10.45,3.03,2.98,34.0,42.0,
SF,Isaiah Livers,,,,,,
C,Makur Maker,11.87,3.28,3.34,25.5,31.0,
C,Sandro Mamukelashvili,11.63,3.3,3.21,30.5,36.5,
PG,Tre Mann,,,,,,
PF,Matthew Mayer,,,,,,
PG,Miles McBride,11.08,3.13,3.1,31.0,38.5,
PG,Davion Mitchell,,,,,,
PF,Evan Mobley,,,,,,
PF,Isaiah Mobley,12.7,3.5,3.3,26.5,32.0,
SG,Moses Moody,,,,,,
SF,Trey Murphy III,11.65,3.32,3.14,34.0,38.0,
PG,Daishen Nix,11.72,3.18,3.0,29.5,36.5,
SG,John Petty Jr.,11.51,3.17,3.35,27.5,34.0,
PF,Yves Pons,10.89,3.05,3.1,36.0,42.5,
PG,Jason Preston,10.82,3.08,3.13,30.5,38.5,
SG,Joshua Primo,10.97,3.36,3.22,30.5,37.5,
PF,Roko Prkacin,,,,,,
C,Neemias Queta,11.85,3.5,3.29,27.0,33.0,
SG,Austin Reaves,10.94,3.19,3.07,25.0,35.0,
PF,Jeremiah Robinson-Earl,11.64,3.15,3.29,27.0,32.0,
SF,Terrence Shannon Jr.,11.51,3.12,3.21,32.5,39.5,
C,Day'Ron Sharpe,,,,,,
C,Jericho Sims,11.59,3.38,3.05,37.0,44.5,
SG,Jaden Springer,11.46,3.1,3.13,34.5,41.5,
PG,DJ Steward,11.14,3.1,3.08,34.5,38.5,
SG,Cam Thomas,,,,,,
PF,JT Thor,12.19,3.08,3.06,31.5,35.0,
PF,Isaiah Todd,11.38,3.25,3.31,28.5,35.5,
SG,Duane Washington Jr.,11.5,3.06,3.17,29.5,35.5,
PF,Trendon Watford,11.69,3.23,3.27,28.0,35.0,
SF,Joe Wieskamp,10.7,3.18,3.04,30.0,42.0,
SG-SF,Aaron Wiggins,11.2,3.0,3.04,29.5,36.0,
SF,Ziaire Williams,10.69,3.04,3.12,34.0,39.5,
PF,Moses Wright,11.2,3.42,3.15,31.5,38.0,
PG,McKinley Wright IV,10.76,3.12,3.08,31.5,38.0,
PG,Marcus Zegarowski,11.47,3.26,3.11,30.0,35.5,
PF,Precious Achiuwa,,,,,,
SG,Ty-Shon Alexander,11.33,2.47,3.26,28.0,33.0,
C,Udoka Azubuike,11.82,3.61,3.23,37.0,41.0,
PF,Tyler Bey,11.35,2.75,3.17,37.0,43.5,
PF,Yoeli Childs,10.87,2.42,3.22,34.0,38.5,
PF,Mamadi Diakite,11.95,2.71,3.16,28.0,37.0,
PG,Devon Dotson,10.44,2.22,3.02,31.5,40.5,
SF-PF,Paul Eboua,10.79,2.44,3.19,33.0,35.5,
SG-SF,CJ Elleby,11.25,2.63,3.25,30.5,36.5,
PG,Trent Forrest,11.04,2.5,3.18,28.0,34.5,
SG-SF,Josh Green,10.64,2.28,3.12,30.5,39.5,
PG,Ashton Hagans,10.82,2.5,3.13,29.5,36.5,
SF,Joshua Hall,12.16,2.62,3.38,31.5,37.5,
SG,Jalen Harris,10.59,2.49,3.11,37.5,42.5,
PG,Markus Howard,11.21,3.17,3.11,30.5,35.5,
SF-SG,Elijah Hughes,,,,,,
SG,Isaiah Joe,,,,,,
SG,Mason Jones,10.6,2.49,3.33,24.0,31.0,
PF-C,Nathan Knight,11.56,2.96,3.31,23.0,31.5,
PG,Theo Maledon,,,,,,
PG-SG,Karim Mane,11.52,2.64,3.04,31.0,36.0,
SF,Naji Marshall,11.77,2.9,3.37,28.5,35.0,
SF-PF,Kenyon Martin Jr.,11.93,2.58,3.16,31.5,38.5,
SG,Skylar Mays,10.65,2.4,3.3,29.0,37.5,
PF-C,Zeke Nnaji,10.94,2.72,3.2,33.0,38.0,
SF-PF,Jordan Nwora,11.29,2.66,3.43,29.0,35.0,
PF-C,Reggie Perry,11.26,2.57,3.25,30.0,33.5,
PG-SG,Myles Powell,,,,,,
SG,Immanuel Quickley,11.21,2.46,3.17,29.5,35.5,
SG,Jahmi'us Ramsey,,,,,,
PF,Paul Reed Jr.,12.29,2.67,3.45,26.5,37.5,
C,Nick Richards,11.42,2.92,3.25,30.0,34.0,
PG-SG,Grant Riller,11.17,2.45,3.07,32.5,39.5,
SG-SF,Jayden Scrubb,,,,,,
PF-C,Jalen Smith,,,,,,
SG,Cassius Stanley,11.4,2.43,3.09,34.5,44.0,
SF-PF,Lamar Stevens,10.35,2.54,3.2,35.0,41.0,
C,Isaiah Stewart,,,,,,
PG,Tyrell Terry,10.78,2.59,3.28,30.0,34.0,
PF,Killian Tillie,11.6,2.62,3.4,27.5,32.0,
PF-C,Xavier Tillman Sr.,11.8,3.01,3.49,26.0,32.5,
C,Kaleb Wesson,11.73,2.64,3.6,21.5,27.0,
SF,Kahlil Whitney,11.17,2.61,3.28,29.0,39.0,
PG,Cassius Winston,11.15,2.74,3.61,24.0,28.0,
SF,Robert Woodard II,11.1,2.49,3.18,32.0,38.0,
SG,Nickeil Alexander-Walker,,,,,,
SF,RJ Barrett,,,,,,
C,Charles Bassey,12.65,3.27,3.53,29.0,33.0,7.0
PF,Darius Bazley,11.09,2.95,3.27,30.5,37.0,4.0
C,Bol Bol,,,,,,
SG,Jordan Bone,9.97,2.78,3.08,36.0,42.5,7.0
SF,Brian Bowen II,10.98,3.21,3.26,32.0,35.5,1.0
PG,Ky Bowman,11.11,3.11,3.26,27.5,33.0,4.0
SF,Ignas Brazdeikis,11.06,3.17,3.36,31.0,36.5,13.0
SF-PF,O'Shae Brissett,11.3,3.18,3.48,34.0,37.5,11.0
C,Moses Brown,11.95,3.3,3.51,27.0,31.0,
SF,Brandon Clarke,10.61,3.05,3.15,34.0,40.5,10.0
C,Nicolas Claxton,11.26,3.47,3.36,31.5,36.5,8.0
PF,Tyler Cook,11.32,3.1,3.28,27.5,32.0,11.0
SG,Jarrett Culver,,,,,,
SG,Terence Davis,10.69,2.96,3.28,29.5,34.0,13.0
PG,Luguentz Dort,10.79,3.13,3.22,32.5,38.0,14.0
PG,Devon Dotson,10.63,2.8,3.04,30.0,38.5,7.0
PG,Carsen Edwards,10.53,2.82,3.22,28.5,34.0,14.0
C,Tacko Fall,13.01,3.46,3.78,22.0,26.5,8.0
C,Bruno Fernando,11.29,3.05,3.21,29.5,33.5,13.0
PF,Daniel Gafford,11.61,3.19,3.25,32.5,36.5,5.0
PG,Darius Garland,,,,,,
SG,Quentin Grimes,10.83,3.28,3.2,27.5,36.0,6.0
SG,Kyle Guy,10.48,3.07,3.27,30.5,36.5,4.0
PG,Jaylen Hands,10.73,3.03,3.12,33.0,41.5,6.0
PG,Jared Harper,10.77,3.02,3.04,33.5,40.5,8.0
PF,Jaxson Hayes,11.74,3.23,3.37,27.0,34.5,5.0
C,Dewan Hernandez,11.46,3.25,3.28,30.5,35.5,13.0
SG,Tyler Herro,,,,,,
PF,Jalen Hoard,11.44,3.32,3.34,27.5,35.5,8.0
SG,Talen Horton-Tucker,11.34,3.43,3.34,26.0,34.5,10.0
,De'Andre Hunter,,,,,,
SF-PF,DaQuan Jeffries,,,,,,
PG,Ty Jerome,11.21,3.12,3.4,26.0,31.5,2.0
SG,Keldon Johnson,,,,,,
SG,Cameron Johnson,10.52,3.28,3.26,30.5,36.5,
PF,Mfiondu Kabengele,11.21,3.3,3.25,28.0,35.5,6.0
SF,Louis King,10.99,3.05,3.28,29.0,33.0,
SG,Romeo Langford,,,,,,
PF,Dedric Lawson,11.8,3.54,3.6,23.5,26.0,10.0
PG,Jalen Lecque,11.09,3.3,3.29,35.0,43.0,1.0
SF,Nassir Little,12.15,3.1,3.24,31.0,38.5,5.0
SG-SF,Terance Mann,11.51,3.14,3.3,32.5,38.5,6.0
PG-SG,Cody Martin,10.44,2.99,3.32,28.0,35.5,7.0
SG,Charles Matthews,11.26,3.24,3.38,29.5,37.5,9.0
SF,Jalen McDaniels,11.54,3.23,3.32,29.5,33.5,
PG,Ja Morant,,,,,,
SG,Zach Norvell Jr.,11.6,3.34,3.43,24.0,30.0,
SG,Jaylen Nowell,10.76,3.13,3.23,32.0,38.5,2.0
PF,Jordan Nwora,,,,,,
,Chuma Okeke,,,,,,
SF,KZ Okpala,10.88,3.13,3.38,30.5,37.0,9.0
SG,Miye Oni,11.71,3.12,3.17,30.5,38.5,19.0
SF,Eric Paschall,11.63,3.26,3.3,33.0,38.0,18.0
SF-PF,Reggie Perry,12.46,3.4,3.3,28.5,31.5,15.0
PG,Shamorie Ponds,11.01,3.07,3.2,29.0,37.0,
SG,Jordan Poole,10.59,3.14,3.27,28.0,35.5,
PF,Jontay Porter,,,,,,
SG,Kevin Porter Jr.,10.82,3.03,3.14,27.0,34.0,2.0
C,Neemias Queta,12.04,3.45,3.73,24.0,32.5,1.0
SF,Cameron Reddish,,,,,,
PF,Naz Reid,12.03,3.76,3.42,26.0,32.5,3.0
PF,Isaiah Roby,10.63,3.05,3.25,32.5,35.5,9.0
PF,Luka Samanic,11.01,3.03,3.27,27.0,38.0,7.0
SF,Admiral Schofield,10.77,2.87,3.37,30.0,34.0,15.0
SF-PF,Marial Shayok,11.16,3.04,3.37,29.5,36.5,9.0
PF,Simisola Shittu,11.85,3.24,3.3,27.0,35.5,11.0
,Killian Tillie,,,,,,
PF,P.J. Washington,,,,,,
PG,Tremont Waters,10.76,3.11,3.07,30.5,40.5,5.0
SG,Quinndary Weatherspoon,11.57,3.15,3.16,31.0,38.0,
PG,Coby White,,,,,,
SF,Kris Wilkes,10.39,3.09,3.34,27.5,35.0,4.0
PF,Grant Williams,10.83,3.27,3.33,26.0,31.5,20.0
PF,Zion Williamson,,,,,,
SF,Dylan Windler,10.7,2.94,3.3,29.0,37.5,8.0
SG,Rawle Alkins,11.5,3.09,3.15,32.5,40.5,10.0
SG,Grayson Allen,10.31,3.04,3.15,32.5,40.5,
PF,Kostas Antetokounmpo,12.48,3.48,3.21,29.5,35.0,
C,Udoka Azubuike,12.97,3.65,3.12,31.0,31.5,11.0
C,Mohamed Bamba,,,,,,
PG-SG,Jaylen Barford,11.39,3.21,3.31,27.0,33.0,7.0
SG-SF,Keita Bates-Diop,11.2,3.28,3.17,30.5,35.0,11.0
SG,Tyus Battle,11.04,2.87,3.07,32.0,37.5,9.0
SG-SF,Brian Bowen,11.58,3.33,3.28,30.5,34.0,
SF,Miles Bridges,,,,,,
SG-PG,Bruce Brown,11.11,3.44,3.2,32.5,38.0,17.0
SF,Troy Brown,11.51,3.29,3.33,26.0,33.0,5.0
PG,Jalen Brunson,10.59,3.11,3.15,29.0,37.0,7.0
PG,Tony Carr,11.89,3.4,3.17,25.0,31.5,
PG,Jevon Carter,11.04,3.05,3.18,29.0,36.5,14.0
C-PF,Wendell Carter,,,,,,
SG,Donte DiVincenzo,10.72,3.12,3.11,34.5,42.0,12.0
SG,Hamidou Diallo,10.53,3.14,3.1,32.5,40.5,1.0
PG,Trevon Duval,10.93,3.09,3.18,34.0,41.5,6.0
PG,Carsen Edwards,11.59,3.15,3.2,28.5,34.5,12.0
PG,Keenan Evans,,,,,,
SG-SF,Jacob Evans,11.11,3.14,3.2,28.0,35.5,8.0
C,Bruno Fernando,12.19,3.03,3.23,29.0,35.0,11.0
SF-SG,Melvin Frazier,11.24,3.08,3.08,31.0,40.5,
PG,Shai Gilgeous-Alexander,,,,,,
PG,Devonte Graham,11.28,3.15,3.21,31.0,37.0,14.0
C,Isaac Haas,,,,,,
